"","SITE_ID","VISIT_NO","MMI_BENT","OE_SCORE"
"413","ALSS-1065",1,11.38,0.443305589
"414","SDRM-1011",1,80.12,0.598945633
"415","CAS9-0926",1,74.17,1.071856141
"416","OKS9-0934",1,35.98,1.040693546
"417","INRF-0001",1,79.25,1.07611316
"418","WARM-1001",1,67.05,1.43789629
"419","IARF-0004",1,74.43,1.187540613
"420","IAR9-0905",1,31.55,0.415233927
"421","NJSS-1078",1,32.47,0.940165001
"422","ILR9-0902",1,36.8,0.480490864
"423","CAS9-0920",1,35.55,0.801399655
"424","NYSS-1249",1,25.77,0.70025409
"425","IDR9-0905",1,11.3,0.528130211
"426","VTRF-0001",1,53.77,0.837823448
"427","INS9-0923",1,40.25,0.619206013
"428","IARF-0002",1,65.93,0.6478961
"429","OHS9-0921",1,81.77,0.78184804
"430","ORS9-0937",1,55.12,1.112479812
"431","NVS9-0921",2,31.75,0.455675407
"432","NVR9-0920",2,79.82,1.007775185
"433","NVS9-0926",2,49.07,0.584057141
"434","NCR9-0903",1,61.68,0.816144395
"435","MTRO-1070",1,68.55,1.208391609
"436","ARR9-0905",1,62.15,1.22812804
"437","ALRF-0001",1,59.87,0.950337324
"438","LAS9-0944",2,29.68,0.792950854
"439","LAR9-0915",2,33.78,0.73697776
"440","MOLS-1080",1,42.6,0.868369162
"441","IARF-0005",1,33.93,0.812310029
"442","MNR9-0913",1,26.38,0.806357795
